gene_id_Zm	OG	module_num	module_color	hub_score_kME	description (maizeGDB's maizemine)
Zm00001eb428020	OG0008267	3	brown	0.56327856	U3 small nucleolar RNA-associated protein like
Zm00001eb244150	OG0017188	3	brown	0.52181182	Ankyrin repeat protein SKIP35
Zm00001eb000520	OG0012418	3	brown	0.80899092	NA
Zm00001eb404370	OG0012418	3	brown	0.80899092	Med12 domain-containing protein
Zm00001eb253860	OG0006346	3	brown	0.71541726	RNA-dependent RNA polymerase
Zm00001eb375190	OG0013244	3	brown	0.52465004	Cys/Met metabolism
Zm00001eb055460	OG0008164	3	brown	0.59542262	Phytochrome
Zm00001eb216020	OG0008164	3	brown	0.59542262	Phytochrome
Zm00001eb018850	OG0012707	3	brown	0.50488831	NA
Zm00001eb392400	OG0012707	3	brown	0.50488831	NA
Zm00001eb103680	OG0018553	3	brown	0.63597826	PLCXc domain-containing protein
Zm00001eb319820	OG0018553	3	brown	0.63597826	PLCXc domain-containing protein
Zm00001eb024750	OG0013612	3	brown	0.53046185	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10-B
Zm00001eb224900	OG0013612	3	brown	0.53046185	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10-B
Zm00001eb095690	OG0011656	3	brown	0.64864276	Tuber-specific and sucrose-responsive element binding factor
Zm00001eb307400	OG0011656	3	brown	0.64864276	Sucrose responsive element binding protein
Zm00001eb299670	OG0023320	3	brown	0.77401925	GYF domain-containing protein
Zm00001eb019830	OG0024348	3	brown	0.36310669	EF hand family protein
Zm00001eb231250	OG0009343	3	brown	0.43447832	NA
Zm00001eb228280	OG0011437	3	brown	0.74345452	Mitochondrial protein import protein ZIM17
Zm00001eb272180	OG0011437	3	brown	0.74345452	Circadian locomoter output cycles protein like
Zm00001eb392300	OG0014396	3	brown	0.58022895	CS domain-containing protein
Zm00001eb127630	OG0005699	3	brown	0.76248227	Importin subunit alpha
Zm00001eb333670	OG0005699	3	brown	0.76248227	Importin subunit alpha
Zm00001eb038410	OG0007324	3	brown	0.59846	Mitochondrial uncoupling protein 4
Zm00001eb377050	OG0007493	3	brown	0.62042326	Protein kinase domain-containing protein
Zm00001eb141550	OG0004830	3	brown	0.42201017	High chlorophyll fluorescence 153
Zm00001eb363190	OG0004830	3	brown	0.42201017	High chlorophyll fluorescence 153
Zm00001eb153620	OG0001580	3	brown	0.76906834	Phosphotransferase
Zm00001eb293670	OG0001580	3	brown	0.76906834	Phosphotransferase
Zm00001eb353560	OG0001580	3	brown	0.76906834	Phosphotransferase
Zm00001eb378210	OG0017809	3	brown	0.52802997	Arginine decarboxylase
Zm00001eb388000	OG0002989	3	brown	0.47588401	Putative cinnamoyl CoA reductase
Zm00001eb388020	OG0002989	3	brown	0.47588401	Epimerase domain-containing protein
Zm00001eb112210	OG0005620	3	brown	0.31405124	probable carboxylesterase 18
Zm00001eb059850	OG0018738	3	brown	0.41909395	Ferredoxin--NADP reductase
Zm00001eb041480	OG0021197	3	brown	0.74951288	Putative endoplasmic reticulum membrane C16E8.02
Zm00001eb008570	OG0020426	3	brown	0.85117957	NA
Zm00001eb400280	OG0020426	3	brown	0.85117957	NA
Zm00001eb015550	OG0012722	3	brown	0.55578303	thioredoxin-like 1-1
Zm00001eb395390	OG0012722	3	brown	0.55578303	thioredoxin-like 1-1
Zm00001eb313590	OG0002589	3	brown	0.76169521	Transcription initiation factor TFIID subunit 10
Zm00001eb091640	OG0016390	3	brown	0.61257043	Alkaline/neutral invertase
Zm00001eb200930	OG0016390	3	brown	0.61257043	Alkaline/neutral invertase
Zm00001eb049960	OG0002787	3	brown	0.58931413	UDP-arabinopyranose mutase
Zm00001eb219270	OG0002787	3	brown	0.58931413	Reversibly glycosylated polypeptide (Fragment)
Zm00001eb178110	OG0009027	3	brown	0.77265118	NA
Zm00001eb414180	OG0009027	3	brown	0.77265118	Beta-galactosidase related protein
Zm00001eb015660	OG0021422	3	brown	0.71336681	Guanine nucleotide exchange factor SPIKE 1
Zm00001eb395310	OG0021422	3	brown	0.71336681	Guanine nucleotide exchange factor SPIKE 1
Zm00001eb269810	OG0005504	3	brown	0.68151707	NAC domain-containing protein
Zm00001eb378150	OG0005504	3	brown	0.68151707	Putative NAM (No apical meristem) protein
Zm00001eb003170	OG0010865	3	brown	0.44072766	NA
Zm00001eb427430	OG0021257	3	brown	0.74970619	MSP domain-containing protein
Zm00001eb305840	OG0010133	3	brown	0.72597454	Adenylate kinase isoenzyme 6 homolog
Zm00001eb137840	OG0012884	3	brown	0.52716878	auxin-binding protein T85
Zm00001eb410760	OG0012884	3	brown	0.52716878	Auxin-binding protein 4
Zm00001eb410780	OG0012884	3	brown	0.52716878	Auxin-binding protein 4
Zm00001eb410800	OG0012884	3	brown	0.52716878	Auxin-binding protein 4
Zm00001eb440220	OG0012884	3	brown	0.52716878	Auxin-binding protein 4
Zm00001eb311180	OG0011645	3	brown	0.60932202	AP domain DRE binding factor
Zm00001eb152300	OG0016484	3	brown	0.38840723	Glucan endo-1
Zm00001eb300900	OG0013647	3	brown	0.74816586	BTB/POZ and MATH domain-containing protein 4
Zm00001eb228660	OG0007615	3	brown	0.75545655	Calcium-binding EF hand family protein
Zm00001eb278770	OG0007615	3	brown	0.75545655	epidermal growth factor receptor substrate 15-like 1
Zm00001eb159450	OG0006205	3	brown	0.36065836	NA
Zm00001eb358630	OG0006205	3	brown	0.36065836	NA
Zm00001eb075320	OG0012549	3	brown	0.55675632	GATA transcription factor
Zm00001eb427580	OG0012549	3	brown	0.55675632	GATA-type domain-containing protein
Zm00001eb235240	OG0024600	3	brown	0.4029687	Chloride channel protein
Zm00001eb161310	OG0011617	3	brown	0.71334168	Hydrogen-transporting ATP synthase
Zm00001eb357670	OG0011617	3	brown	0.71334168	Hydrogen-transporting ATP synthase
Zm00001eb028160	OG0018061	3	brown	0.56941827	BZIP domain-containing protein
Zm00001eb149230	OG0008741	3	brown	0.71155872	NA
Zm00001eb128830	OG0013306	3	brown	0.69381994	Isocitrate dehydrogenase [NAD] subunit
Zm00001eb332780	OG0013306	3	brown	0.69381994	Isocitrate dehydrogenase [NAD] subunit
Zm00001eb062880	OG0009388	3	brown	0.58808266	Bowman-Birk type trypsin inhibitor
Zm00001eb211530	OG0009388	3	brown	0.58808266	NA
Zm00001eb270950	OG0019247	3	brown	0.55392224	F-box/LRR-repeat MAX2 homolog A
Zm00001eb376660	OG0019247	3	brown	0.55392224	F-box protein MAX2
Zm00001eb077300	OG0017530	3	brown	0.34878112	Enzyme of the cupin superfamily
Zm00001eb077320	OG0017530	3	brown	0.34878112	Enzyme of the cupin superfamily
Zm00001eb077340	OG0017530	3	brown	0.34878112	Enzyme of the cupin superfamily
Zm00001eb016620	OG0004280	3	brown	0.48125089	Heavy metal-associated isoprenylated plant protein 32
Zm00001eb394840	OG0004280	3	brown	0.48125089	HMA domain-containing protein
Zm00001eb207940	OG0003519	3	brown	0.80124921	Mediator of RNA polymerase II transcription subunit 17
Zm00001eb334260	OG0003519	3	brown	0.80124921	Mediator of RNA polymerase II transcription subunit 17
Zm00001eb266020	OG0008624	3	brown	0.7524838	E3 UFM1-protein ligase 1 homolog
Zm00001eb014050	OG0011155	3	brown	0.31834468	J domain-containing protein
Zm00001eb396520	OG0011155	3	brown	0.31834468	J domain-containing protein
Zm00001eb046750	OG0008986	3	brown	0.61110683	RAB GTPase homolog C2A
Zm00001eb222340	OG0008986	3	brown	0.61110683	Small GTP-binding domain containing protein
Zm00001eb377910	OG0012847	3	brown	0.54793959	myeloid leukemia factor 1
Zm00001eb309610	OG0016554	3	brown	0.51298061	GDP-mannose transporter GONST4
Zm00001eb063610	OG0002105	3	brown	0.53333963	GATA transcription factor 16
Zm00001eb362090	OG0002105	3	brown	0.53333963	GATA transcription factor 15
Zm00001eb064430	OG0001887	3	brown	0.55915627	NA
Zm00001eb190050	OG0001887	3	brown	0.55915627	NA
Zm00001eb256290	OG0001887	3	brown	0.55915627	Tyrosine specific protein phosphatase-like
Zm00001eb390570	OG0001887	3	brown	0.55915627	NA
Zm00001eb333230	OG0013309	3	brown	0.29787915	Translin-associated protein X
Zm00001eb208520	OG0022023	3	brown	0.63758612	cell division control protein 2 homolog
Zm00001eb054840	OG0013861	3	brown	0.44874078	DNA-directed RNA polymerase subunit
Zm00001eb289430	OG0012658	3	brown	0.55186224	myb-related transcription factor
Zm00001eb347770	OG0012658	3	brown	0.55186224	myb-related transcription factor
Zm00001eb002000	OG0014062	3	brown	0.66730983	NA
Zm00001eb211100	OG0003691	3	brown	0.65783789	IAA-amino acid hydrolase ILR1
Zm00001eb073830	OG0010840	3	brown	0.67356112	Naked endosperm1
Zm00001eb428940	OG0010840	3	brown	0.67356112	Naked endosperm2
Zm00001eb268050	OG0007903	3	brown	0.41396133	PB1 domain-containing protein
Zm00001eb010840	OG0017706	3	brown	0.3691596	Esterase
Zm00001eb182320	OG0017706	3	brown	0.3691596	NA
Zm00001eb186690	OG0017706	3	brown	0.3691596	Arylacetamide deacetylase-like protein 2
Zm00001eb061950	OG0002632	3	brown	0.64438789	DUF295 domain-containing protein
Zm00001eb079930	OG0002632	3	brown	0.64438789	DUF295 domain-containing protein
Zm00001eb424780	OG0002632	3	brown	0.64438789	DUF295 domain-containing protein
Zm00001eb081420	OG0014264	3	brown	0.47528847	Steroid nuclear receptor ligand-binding
Zm00001eb222210	OG0001743	3	brown	0.78476125	54S ribosomal protein L19
Zm00001eb405750	OG0001743	3	brown	0.78476125	50S ribosomal protein L11
Zm00001eb296840	OG0010945	3	brown	0.31062554	SANT domain-containing protein
Zm00001eb085860	OG0014295	3	brown	0.76906969	SAM domain-containing protein
Zm00001eb420700	OG0014295	3	brown	0.76906969	SAM domain-containing protein
Zm00001eb058750	OG0015467	3	brown	0.48676183	30S ribosomal protein S9
Zm00001eb209160	OG0013042	3	brown	0.4628175	Mitogen-activated protein kinase
Zm00001eb128590	OG0020754	3	brown	0.79528137	BSD domain-containing protein
Zm00001eb050280	OG0011793	3	brown	0.52637522	dnaJ protein homolog
Zm00001eb218560	OG0011793	3	brown	0.52637522	dnaJ protein homolog
Zm00001eb269450	OG0003091	3	brown	0.67804088	Oligopeptide transporter 7
Zm00001eb378720	OG0003091	3	brown	0.67804088	Oligopeptide transporter 7
Zm00001eb327170	OG0015389	3	brown	0.79330938	BAH domain-containing protein
Zm00001eb064600	OG0021014	3	brown	0.37565275	U2 small nuclear ribonucleoprotein A
Zm00001eb099980	OG0005672	3	brown	0.40607256	Ethylene-responsive transcription factor 1
Zm00001eb313850	OG0005672	3	brown	0.40607256	Ethylene response factor
Zm00001eb393510	OG0005672	3	brown	0.40607256	Ethylene response factor
Zm00001eb183340	OG0015192	3	brown	0.60440336	C-type lectin domain family 4 member F
Zm00001eb245400	OG0015192	3	brown	0.60440336	IENR2 domain-containing protein
Zm00001eb245690	OG0015193	3	brown	0.61079147	Serine/threonine-protein kinase Nek6
Zm00001eb187450	OG0007991	3	brown	0.39483633	HTH myb-type domain-containing protein
Zm00001eb250940	OG0007991	3	brown	0.39483633	HTH myb-type domain-containing protein
Zm00001eb288250	OG0019043	3	brown	0.34369883	NA
Zm00001eb349230	OG0019043	3	brown	0.34369883	NA
Zm00001eb172590	OG0007038	3	brown	0.30056382	Putative glycerol-3-phosphate transporter 1
Zm00001eb415960	OG0007038	3	brown	0.30056382	Putative glycerol-3-phosphate transporter 1
Zm00001eb280100	OG0019268	3	brown	0.53570715	G-box binding protein-like
Zm00001eb179810	OG0022127	3	brown	0.78482698	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase-like
Zm00001eb331880	OG0009204	3	brown	0.41159434	ABSCISIC ACID-INSENSITIVE 5-like protein 5
Zm00001eb403980	OG0009457	3	brown	0.74830678	AB hydrolase-1 domain-containing protein
Zm00001eb064890	OG0005826	3	brown	0.70795986	Outer envelope pore protein 24
Zm00001eb210500	OG0005826	3	brown	0.70795986	Outer envelope pore protein 24
Zm00001eb053790	OG0011781	3	brown	0.75193241	Proteasome subunit beta
Zm00001eb216990	OG0011781	3	brown	0.75193241	Proteasome subunit beta
Zm00001eb002870	OG0015674	3	brown	0.4801574	NA
Zm00001eb100310	OG0014897	3	brown	0.78999458	PDAT
Zm00001eb314300	OG0014897	3	brown	0.78999458	PDAT
Zm00001eb114990	OG0007214	3	brown	0.46592247	F-box/kelch-repeat protein SKIP11
Zm00001eb167290	OG0007214	3	brown	0.46592247	F-box/kelch-repeat protein SKIP11
Zm00001eb222460	OG0018871	3	brown	0.73615378	Actin-related protein 7
Zm00001eb170920	OG0007915	3	brown	0.32636313	Zinc finger protein CONSTANS-LIKE 1-like
Zm00001eb051800	OG0011800	3	brown	0.6767989	Transducin/WD40 repeat-like superfamily protein isoform 3
Zm00001eb035840	OG0019857	3	brown	0.76630379	Calcium-transporting ATPase
Zm00001eb199100	OG0022107	3	brown	0.78507169	Phospho-2-dehydro-3-deoxyheptonate aldolase
Zm00001eb091850	OG0016388	3	brown	0.54917714	Alba domain-containing protein
Zm00001eb099590	OG0008823	3	brown	0.41186054	Microtubule-associated protein futsch-like
Zm00001eb312590	OG0008823	3	brown	0.41186054	NA
Zm00001eb164650	OG0005912	3	brown	0.45601297	Homeobox protein like
Zm00001eb283160	OG0005912	3	brown	0.45601297	ATP-dependent RNA helicase
Zm00001eb374630	OG0016159	3	brown	0.55162003	Cinnamoyl CoA reductase
Zm00001eb327040	OG0010579	3	brown	0.36265505	Agamous-like MADS-box protein AGL8
Zm00001eb055280	OG0015496	3	brown	0.40552691	Histidine kinase
Zm00001eb216090	OG0015496	3	brown	0.40552691	Histidine kinase
Zm00001eb085360	OG0002136	3	brown	0.48457176	Nodulin-like domain-containing protein
Zm00001eb085380	OG0002136	3	brown	0.48457176	Nodulin-like domain-containing protein
Zm00001eb421140	OG0002136	3	brown	0.48457176	Nodulin-like domain-containing protein
Zm00001eb292430	OG0018768	3	brown	0.64552194	NA
Zm00001eb152830	OG0010023	3	brown	0.44900206	RING-H2 finger protein ATL2K
Zm00001eb370730	OG0010023	3	brown	0.44900206	RING-H2 finger protein ATL2K
Zm00001eb292230	OG0021365	3	brown	0.47748145	Protein SULFUR DEFICIENCY-INDUCED 1
Zm00001eb253760	OG0011986	3	brown	0.31941918	probable peroxygenase 4
Zm00001eb066890	OG0017421	3	brown	0.36118373	Ethylene-responsive transcription factor 3
Zm00001eb035010	OG0014090	3	brown	0.30249419	NA
Zm00001eb385970	OG0016280	3	brown	0.4700755	Acyl transferase 7
Zm00001eb286990	OG0010965	3	brown	0.76231621	Serine/threonine-protein kinase-like protein
Zm00001eb347060	OG0010965	3	brown	0.76231621	serine/threonine-protein kinase-like protein At3g51990
Zm00001eb165860	OG0007410	3	brown	0.38971866	kinesin-like protein klp-3 isoform X2
Zm00001eb291080	OG0001449	3	brown	0.7893148	NA
Zm00001eb291130	OG0001449	3	brown	0.7893148	NA
Zm00001eb352190	OG0001449	3	brown	0.7893148	NA
Zm00001eb386090	OG0001449	3	brown	0.7893148	NA
Zm00001eb101170	OG0019262	3	brown	0.57755371	Probable purine permease
Zm00001eb315500	OG0019262	3	brown	0.57755371	Probable purine permease
Zm00001eb084550	OG0005980	3	brown	0.50788895	Inhibitor of apoptosis-like protein
Zm00001eb421690	OG0005980	3	brown	0.50788895	Putative BOI-related E3 ubiquitin-protein ligase 2
Zm00001eb270830	OG0005045	3	brown	0.4108826	POP4 domain-containing protein
Zm00001eb286610	OG0005045	3	brown	0.4108826	Ribonuclease P protein subunit p29
Zm00001eb290190	OG0005045	3	brown	0.4108826	POP4 domain-containing protein
Zm00001eb064860	OG0010632	3	brown	0.51115871	Heat stress transcription factor A-1
Zm00001eb210530	OG0010632	3	brown	0.51115871	Heat stress transcription factor A-1
Zm00001eb107730	OG0013747	3	brown	0.58444395	Protein indeterminate-domain 11
Zm00001eb325590	OG0013747	3	brown	0.58444395	Zinc finger protein MAGPIE
Zm00001eb408860	OG0018803	3	brown	0.30527294	NAC domain-containing protein
Zm00001eb182680	OG0013961	3	brown	0.52965649	Hexosyltransferase
Zm00001eb244510	OG0013961	3	brown	0.52965649	Hexosyltransferase
Zm00001eb139460	OG0016817	3	brown	0.60938211	Serine/threonine-protein kinase STY46
Zm00001eb407550	OG0016817	3	brown	0.60938211	Serine/threonine-protein kinase STY46
Zm00001eb218590	OG0016696	3	brown	0.61177084	glycosyltransferase BC10
Zm00001eb318300	OG0015340	3	brown	0.46510236	Putative Pto kinase interactor 1
Zm00001eb087120	OG0019997	3	brown	0.76336111	Transducin/WD-40 repeat family protein
Zm00001eb420250	OG0019997	3	brown	0.76336111	Transducin family protein / WD-40 repeat family protein isoform 5
Zm00001eb143150	OG0006793	3	brown	0.36108105	MYND-type domain-containing protein
Zm00001eb364370	OG0006793	3	brown	0.36108105	MYND-type domain-containing protein
Zm00001eb417440	OG0019696	3	brown	0.47805116	Non-specific serine/threonine protein kinase
Zm00001eb414640	OG0011879	3	brown	0.58784551	(DL)-glycerol-3-phosphatase 2 isoform X1
Zm00001eb180890	OG0005548	3	brown	0.52495296	Acetolactate synthase
Zm00001eb241810	OG0005548	3	brown	0.52495296	Acetolactate synthase
Zm00001eb229450	OG0018681	3	brown	0.43995653	BAG family molecular chaperone regulator 7
Zm00001eb314830	OG0016954	3	brown	0.418211	Tuliposide A-converting enzyme b1
Zm00001eb287880	OG0005433	3	brown	0.45775929	CUE domain-containing protein
Zm00001eb349530	OG0005433	3	brown	0.45775929	CUE domain-containing protein
Zm00001eb148130	OG0011536	3	brown	0.55801019	Protein-serine/threonine phosphatase
Zm00001eb367840	OG0011536	3	brown	0.55801019	Protein-serine/threonine phosphatase
Zm00001eb155890	OG0014864	3	brown	0.36244737	ABC transporter B family member 11
Zm00001eb245950	OG0011940	3	brown	0.55548764	ZZ-type zinc finger-containing protein
Zm00001eb053750	OG0007845	3	brown	0.41682079	Stromal 70 kDa heat shock-related protein
Zm00001eb217010	OG0007845	3	brown	0.41682079	stromal 70 kDa heat shock-related protein
Zm00001eb176270	OG0022130	3	brown	0.76728373	Protein-L-isoaspartate O-methyltransferase
Zm00001eb171750	OG0011890	3	brown	0.36168586	5'-3' exoribonuclease
Zm00001eb314390	OG0005198	3	brown	0.54670926	NA
Zm00001eb067700	OG0021240	3	brown	0.66587114	Glucose-6-phosphate 1-epimerase
Zm00001eb015940	OG0020376	3	brown	0.74670048	Eukaryotic translation initiation factor 2 subunit beta
Zm00001eb192250	OG0009857	3	brown	0.7278369	RING/U-box superfamily protein
Zm00001eb257960	OG0009857	3	brown	0.7278369	RING/U-box superfamily protein
Zm00001eb268890	OG0023579	3	brown	0.53972636	DNA-methyltransferase CMT2
Zm00001eb025400	OG0013616	3	brown	0.71920189	POT family protein
Zm00001eb259160	OG0016333	3	brown	0.68572002	t-SNARE coiled-coil homology domain-containing protein
Zm00001eb072650	OG0003705	3	brown	0.4507224	FLZ-type domain-containing protein
Zm00001eb117740	OG0018512	3	brown	0.68770754	Pleckstrin domain-containing protein isoform 2
Zm00001eb126400	OG0006941	3	brown	0.44146435	Proline-rich receptor-like protein kinase PERK8
Zm00001eb334440	OG0006941	3	brown	0.44146435	Proline-rich receptor-like protein kinase PERK8
Zm00001eb324620	OG0018590	3	brown	0.44974665	Exocyst complex component EXO84C
Zm00001eb259030	OG0013003	3	brown	0.32437061	S-acyltransferase
Zm00001eb163220	OG0011350	3	brown	0.80422741	NA
Zm00001eb203150	OG0011350	3	brown	0.80422741	Adhesin FhaB
Zm00001eb004310	OG0011062	3	brown	0.78498279	Chloroplast zebra-necrosis protein
Zm00001eb003490	OG0022855	3	brown	0.51854979	NA
Zm00001eb234170	OG0013924	3	brown	0.42098307	Two-component response regulator
Zm00001eb195520	OG0003964	3	brown	0.5042035	Secologanin synthase
Zm00001eb416090	OG0005772	3	brown	0.39192037	Putative nitrate-transporting ATPase
Zm00001eb031410	OG0006741	3	brown	0.40105814	Cell-cell signaling protein csgA-like
Zm00001eb076730	OG0014237	3	brown	0.62927381	BRO1 domain-containing protein
Zm00001eb427060	OG0014237	3	brown	0.62927381	BRO1 domain-containing protein
Zm00001eb106180	OG0018580	3	brown	0.58824638	Thioredoxin domain-containing protein
Zm00001eb387780	OG0021626	3	brown	0.48283292	Glutaredoxin-dependent peroxiredoxin
Zm00001eb254530	OG0018465	3	brown	0.64043489	ATPase ARSA1 isoform A
Zm00001eb144580	OG0006802	3	brown	0.34240175	NA
Zm00001eb365650	OG0006802	3	brown	0.34240175	NA
Zm00001eb260210	OG0009065	3	brown	0.54678401	SWR1 complex subunit 2
Zm00001eb204260	OG0002520	3	brown	0.67197265	PABS domain-containing protein
Zm00001eb230230	OG0002520	3	brown	0.67197265	PABS domain-containing protein
Zm00001eb285830	OG0020171	3	brown	0.41269054	Protein-serine/threonine phosphatase
Zm00001eb011020	OG0012752	3	brown	0.69448284	Chorismate synthase
Zm00001eb398410	OG0012752	3	brown	0.69448284	Chorismate synthase
Zm00001eb266980	OG0005740	3	brown	0.48549339	PUM-HD domain-containing protein
Zm00001eb355970	OG0005740	3	brown	0.48549339	PUM-HD domain-containing protein
Zm00001eb080070	OG0001750	3	brown	0.50364347	Small nuclear ribonucleoprotein Sm D1
Zm00001eb424640	OG0001750	3	brown	0.50364347	Small nuclear ribonucleoprotein Sm D1
Zm00001eb009160	OG0020420	3	brown	0.59817886	Trehalose 6-phosphate phosphatase
Zm00001eb088460	OG0002360	3	brown	0.4087609	DNA-directed RNA polymerase subunit
Zm00001eb023540	OG0002720	3	brown	0.5233337	Flavin-containing monooxygenase
Zm00001eb023590	OG0002720	3	brown	0.5233337	Flavin-containing monooxygenase
Zm00001eb294990	OG0009654	3	brown	0.71717421	Guanine nucleotide-binding protein subunit beta-like protein
Zm00001eb342960	OG0009654	3	brown	0.71717421	Guanine nucleotide-binding protein subunit beta-like protein
Zm00001eb168890	OG0011467	3	brown	0.54631329	NA
Zm00001eb294370	OG0022278	3	brown	0.3137046	Cytokinin riboside 5'-monophosphate phosphoribohydrolase
Zm00001eb003930	OG0009702	3	brown	0.54566168	NA
Zm00001eb298650	OG0009702	3	brown	0.54566168	HR-like lesion-inducing protein-related
Zm00001eb403040	OG0009702	3	brown	0.54566168	HR-like lesion-inducing protein-related
Zm00001eb442960	OG0009702	3	brown	0.54566168	NA
Zm00001eb076640	OG0009536	3	brown	0.63950311	Ras-related protein RABC1
Zm00001eb434560	OG0009536	3	brown	0.63950311	Ras-related protein RABC1
Zm00001eb093970	OG0006132	3	brown	0.49052189	Vacuolar-sorting receptor 1
Zm00001eb195390	OG0006132	3	brown	0.49052189	Vacuolar-sorting receptor 1
Zm00001eb182820	OG0006320	3	brown	0.48192422	Photolyase/cryptochrome alpha/beta domain-containing protein
Zm00001eb230340	OG0006320	3	brown	0.48192422	NA
Zm00001eb244770	OG0006320	3	brown	0.48192422	Photolyase/cryptochrome alpha/beta domain-containing protein
Zm00001eb057850	OG0002326	3	brown	0.42267356	NA
Zm00001eb402840	OG0002326	3	brown	0.42267356	Carotenoid cleavage dioxygenase
Zm00001eb039360	OG0008304	3	brown	0.37879857	Peptidyl-prolyl cis-trans isomerase
Zm00001eb088470	OG0001891	3	brown	0.69130082	50S ribosomal protein L18
Zm00001eb192090	OG0017560	3	brown	0.59194887	Homoserine O-acetyltransferase
Zm00001eb144900	OG0016430	3	brown	0.76678968	Selenoprotein F
Zm00001eb192730	OG0001805	3	brown	0.51659947	MAP kinase kinase
Zm00001eb374270	OG0001805	3	brown	0.51659947	MAP kinase kinase
Zm00001eb357490	OG0019527	3	brown	0.65723484	Telomere repeat-binding factor 1
Zm00001eb060110	OG0010655	3	brown	0.49037911	Calcium-dependent protein kinase 1
Zm00001eb213280	OG0010655	3	brown	0.49037911	Calcium-dependent protein kinase 1
Zm00001eb037010	OG0014102	3	brown	0.53451713	Discolored-paralog2
Zm00001eb175550	OG0014102	3	brown	0.53451713	Discolored-paralog2
Zm00001eb004440	OG0011059	3	brown	0.35443269	probable serine/threonine-protein kinase PBL16
Zm00001eb011800	OG0020401	3	brown	0.6093045	SH3 domain-containing protein
Zm00001eb252530	OG0019777	3	brown	0.54919555	Glycosyltransferase family 92 protein
Zm00001eb202520	OG0009928	3	brown	0.49936779	Putative mediator of RNA polymerase II transcription subunit 26c
Zm00001eb274050	OG0005748	3	brown	0.42130125	Peptidyl-prolyl cis-trans isomerase
Zm00001eb155040	OG0005591	3	brown	0.62455107	KRR1 small subunit processome component
Zm00001eb105730	OG0008077	3	brown	0.67968695	Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH7
Zm00001eb069350	OG0021311	3	brown	0.53930682	diacylglycerol kinase
Zm00001eb276260	OG0002766	3	brown	0.73849688	Biogenesis of lysosome-related organelles complex 1 subunit 1
Zm00001eb156930	OG0001330	3	brown	0.51564527	NA
Zm00001eb360230	OG0001330	3	brown	0.51564527	NA
Zm00001eb427270	OG0017455	3	brown	0.42816997	Protein kinase domain-containing protein
Zm00001eb069620	OG0021250	3	brown	0.58991813	NA
Zm00001eb434050	OG0003298	3	brown	0.63392729	NA
Zm00001eb324540	OG0010560	3	brown	0.50690044	PPM-type phosphatase domain-containing protein
Zm00001eb018980	OG0005296	3	brown	0.71318923	Cytochrome c oxidase subunit
Zm00001eb184450	OG0005296	3	brown	0.71318923	Cytochrome c oxidase subunit
Zm00001eb206650	OG0009769	3	brown	0.50928279	Ubiquitin receptor RAD23
Zm00001eb048840	OG0003998	3	brown	0.69148352	Vesicle transport protein SEC20
Zm00001eb238020	OG0003998	3	brown	0.69148352	Vesicle transport protein SEC20
Zm00001eb259150	OG0008607	3	brown	0.48511082	Deoxyhypusine hydroxylase
Zm00001eb109270	OG0012130	3	brown	0.47867696	Erect panical 2
Zm00001eb327470	OG0012130	3	brown	0.47867696	NA
Zm00001eb322670	OG0002308	3	brown	0.31747491	NA
Zm00001eb099120	OG0010107	3	brown	0.56839547	Annexin
Zm00001eb311950	OG0010107	3	brown	0.56839547	Annexin
Zm00001eb347070	OG0012155	3	brown	0.54581312	UDP-sulfoquinovose synthase
Zm00001eb298610	OG0012027	3	brown	0.58796146	RNA polymerase II elongator associated protein
Zm00001eb062600	OG0012168	3	brown	0.84673515	Actin-depolymerizing factor 4
Zm00001eb211740	OG0012168	3	brown	0.84673515	Actin-depolymerizing factor 3
Zm00001eb117900	OG0020930	3	brown	0.60637554	BTB/POZ domain-containing protein At3g50780
Zm00001eb129080	OG0022626	3	brown	0.80174972	ERI1 exoribonuclease 2
Zm00001eb395270	OG0024741	3	brown	0.48070617	COP1-Interacting protein-related
Zm00001eb017210	OG0002216	3	brown	0.41019187	RING-type E3 ubiquitin transferase
Zm00001eb329840	OG0002216	3	brown	0.41019187	RING-type E3 ubiquitin transferase
Zm00001eb208810	OG0015524	3	brown	0.30267006	Chloroplast small heat shock protein class I
Zm00001eb146070	OG0007677	3	brown	0.58579145	HSP40/DnaJ peptide-binding protein
Zm00001eb366410	OG0007677	3	brown	0.58579145	HSP40/DnaJ peptide-binding protein
Zm00001eb005950	OG0022338	3	brown	0.68964195	CTC-interacting domain 7
Zm00001eb401800	OG0022338	3	brown	0.68964195	CTC-interacting domain 7
Zm00001eb002240	OG0004804	3	brown	0.51977823	NA
Zm00001eb403520	OG0004804	3	brown	0.51977823	Phosphatidylinositol-glycan biosynthesis class F protein
Zm00001eb016230	OG0002656	3	brown	0.35121049	alanine--glyoxylate aminotransferase 2 homolog 3
Zm00001eb290370	OG0002656	3	brown	0.35121049	Alanine--glyoxylate aminotransferase 2 3
Zm00001eb290460	OG0002656	3	brown	0.35121049	Alanine--glyoxylate aminotransferase 2 3
Zm00001eb244120	OG0002635	3	brown	0.60487126	Chloride channel protein
Zm00001eb423070	OG0002635	3	brown	0.60487126	Chloride channel protein
